date,state,state_abbrev,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,vaccines,vaccines_cum,weekly_increase
12/06/2022,New South Wales,NSW,5387,2662542,5,2957,23666,32253121,5387,2662542,2802,31,1255,6,45,-2,12,4660,18517350,98
20/06/2022,New South Wales,NSW,6006,2717292,5,3039,24723,32453447,6006,2717292,2802,64,1470,8,58,1,22,1796,18590862,98
16/05/2022,Victoria,VIC,11047,1734100,5,3165,14573,20794566,11047,1734100,294076,-2,526,4,31,-2,2,2439,15354127,98
23/05/2022,Victoria,VIC,8823,1817339,5,3280,12095,20922368,8823,1817339,294076,14,555,0,29,0,8,2479,15443261,98
18/07/2022,New South Wales,NSW,9699,3002504,5,3499,21448,33275534,9699,3002504,2802,112,2169,1,64,0,13,8372,19016565,98
31/07/2022,New South Wales,NSW,10993,3187137,5,3804,0,33684167,10993,3187137,2802,55,2265,-2,66,5,25,0,19210275,98
28/08/2022,New South Wales,NSW,4160,3420398,5,4468,20350,34563507,4160,3420398,2802,-26,1821,-2,45,0,9,0,0,98
10/09/2022,Victoria,VIC,0,2583208,5,5467,7776,22241060,0,2583208,294076,-7,215,-5,8,0,3,0,0,98
19/09/2022,Victoria,VIC,0,2594811,5,5535,4237,22288766,0,2594811,294076,-7,163,2,8,0,4,0,0,98
13/01/2022,Queensland,QLD,12085,134820,6,18,33832,5941837,12085,134820,2210,31,586,-4,26,2,10,72631,8751588,98
15/01/2022,Queensland,QLD,13616,161871,6,27,42685,6028413,13616,161871,2210,60,649,5,46,-1,14,68398,8890075,98
14/01/2022,South Australia,SA,5619,60027,6,34,24796,3386689,5619,60027,1980,21,246,-6,20,1,8,24260,3095599,98
29/03/2022,Western Australia,WA,8831,154901,6,45,21421,2980357,8831,154901,1257,9,219,-3,6,0,0,9641,6147857,98
19/01/2022,South Australia,SA,3773,77183,6,48,15409,3466125,3773,77183,1980,9,294,-1,23,-1,4,23491,3189443,98
4/04/2022,Western Australia,WA,5867,202669,6,63,14552,3076480,5867,202669,1257,10,231,-1,6,0,0,2824,6193405,98
21/01/2022,South Australia,SA,2845,83237,6,65,14683,3495810,2845,83237,1980,8,298,4,33,1,7,26647,3241019,98
26/08/2022,Northern Territory,NT,105,95344,6,71,347,832508,105,95344,282,-1,19,0,2,0,0,0,0,98
17/06/2022,Australian Capital Territory,ACT,941,144597,6,75,2185,1157877,941,144597,8438,-2,87,0,2,0,1,1247,1567792,98
31/01/2022,South Australia,SA,1680,105382,6,119,8880,3600973,1680,105382,1980,-8,281,0,25,0,2,7108,3407810,98
29/08/2021,New South Wales,NSW,1213,24585,6,144,106038,12906597,1213,24585,2802,31,808,1,126,2,54,68410,6649399,98
13/01/2023,Australian Capital Territory,ACT,1012,229434,6,149,NA,0,1012,0,0,0,0,0,0,0,0,0,0,98
5/05/2022,Western Australia,WA,10141,425704,6,158,14249,3463866,10141,425704,1257,29,271,-1,9,0,0,5754,6367705,98
7/05/2022,Western Australia,WA,9243,442538,6,164,12184,3490350,9243,442538,1257,-7,275,2,11,0,0,7286,6383572,98
17/02/2023,Australian Capital Territory,ACT,488,231529,6,164,NA,0,488,0,0,0,0,0,0,0,0,0,0,98
10/05/2022,Western Australia,WA,12356,473909,6,171,20961,3534149,12356,473909,1257,7,286,2,8,0,0,7171,6395133,98
12/05/2022,Western Australia,WA,16645,507544,6,180,15517,3570362,16645,507544,1257,0,275,1,8,0,0,7638,6410652,98
19/05/2022,Western Australia,WA,17057,609598,6,213,19999,3698816,17057,609598,1257,-27,300,-2,10,0,0,7911,6453317,98
